"stockid","stocklong","region","assessment_years"
"ANCHIXa","Anchovy Portugese Waters -East","Europe (EU)","1989-2016,1989-2016,1989-2018,1999-2017"
"NEPHFU3-4","Norway lobster Skagerak Kattegat (FU 3-4)","Europe (EU)","1960-2016,1960-2016,1960-2017,1991-2015"
"NEPHFU7","Norway lobster Fladen Ground (FU 7)","Europe (EU)","1981-2015,1992-2016,1992-2016,1992-2017"
"NEPHFU9","Norway lobster Moray Firth (FU 9)","Europe (EU)","1981-2015,1993-2016,1993-2016,1993-2017"
"NPOUTIIIa-IV","Norway pout ICES 3a-4","Europe (EU)","1983-2011,1983-2013,1983-2014,1984-2017"
"PANDALI-II","Northern shrimp North-East Arctic","Europe (non-EU)","1970-2014,1970-2015,1970-2016,1970-2017"
"PLAIC2432","European plaice Subdivisions 24-32","Europe (EU)","2001-2015,2001-2016,2001-2017,2001-2018"
"PLAICVIIh-k","European plaice ICES 7h-k","Europe (EU)","1989-2014,1989-2015,1989-2016,1989-2018"
"SOLEVIIh-k","Common sole ICES 7h-k","Europe (EU)","1990-2014,1990-2015,1990-2016,1990-2018"
"TURIV","Turbot North Sea","Europe (EU)","1974-2013,1974-2014,1974-2015,1980-2016"
